Y1,FORECAST,STD,L95,U95,RESIDUAL
9,7856.88051,32027.00514,-54914.8961,70628.65712,-7847.88051
8,1210.193335,32027.00514,-61561.58328,63981.96995,-1202.193335
2,709.0867767,32027.00514,-62062.68984,63480.86339,-707.0867767
2,1023.120533,32027.00514,-61748.65608,63794.89714,-1021.120533
2,1059.327194,32027.00514,-61712.44942,63831.10381,-1057.327194
2,1043.406381,32027.00514,-61728.37023,63815.18299,-1041.406381
2,1067.781987,32027.00514,-61703.99463,63839.5586,-1065.781987
6,1039.711853,32027.00514,-61732.06476,63811.48846,-1033.711853
2,1090.011815,32027.00514,-61681.7648,63861.78843,-1088.011815
3,982.3474004,32027.00514,-61789.42921,63754.12401,-979.3474004
1310,1043.679447,32027.00514,-61728.09717,63815.45606,266.3205531
14620,2351.301257,32027.00514,-60420.47535,65123.07787,12268.69874
58335,15731.11646,32027.00514,-47040.66015,78502.89308,42603.88354
115611,60051.49014,32027.00514,-2720.286472,122823.2668,55559.50986
181625,118863.1694,32027.00514,56091.39281,181634.946,62761.83058
246504,185536.6453,32027.00514,122764.8686,248308.4219,60967.35474
276659,250780.7806,32027.00514,188009.004,313552.5572,25878.21943
291162,280844.8059,32027.00514,218073.0293,343616.5825,10317.19412
,293568.894,32027.00514,230797.1174,356340.6707,
